msa_name,state,pop_growth_score,job_growth_score,vacancy_rate_inv_score,hpi_growth_score,net_migration_score,msa_score,predicted_score
Brownsville-Harlingen,TX,2.7494343258134446,4.857956740339446,6.647385482770119,7.141209922661243,5.040751611719692,5.28734761666079,2.7883150577545166
Dayton-Kettering-Beavercreek,OH,2.8430320598372756,2.439960328873931,9.002572158387807,5.661488678562674,6.447140835473558,5.278838812227049,3.1085498332977295
Laredo,TX,2.37107357307044,4.216499518741876,8.858361849016994,5.5021833191923335,5.3472404214057345,5.259071736285476,2.6213996410369873
Abilene,TX,3.2518580823072956,4.086943441636581,7.179241113765045,5.581866842370816,6.040672991246921,5.228116494265332,3.191927194595337
Brunswick-St. Simons,GA,2.2870476395340993,6.055659735594664,4.288593219365062,7.285421413613962,5.998348970071807,5.18301419563592,2.51446795463562
Little Rock-North Little Rock-Conway,AR,2.950021565390599,4.153108492717703,8.16427026836108,5.126411688824638,5.2924681587085285,5.13725603480051,2.919405221939087
Tyler,TX,3.169337510389158,4.348598334711446,5.439618361344131,6.691195112721315,5.9746317941191895,5.124676222657048,3.1284730434417725
Florence-Muscle Shoals,AL,3.1539667101965816,2.742514672046735,6.917719453456932,6.576578366068189,6.157162325069448,5.109588305367577,3.219388246536255
Daphne-Fairhope-Foley,AL,4.038019408011757,6.089499578411389,1.9491972292171127,7.197584377312712,6.123355521777872,5.079531222946168,3.814556121826172
San Angelo,TX,2.645644123200778,4.353250261212313,7.633983331799371,4.706736803293871,6.02901095445254,5.073725094791775,2.737072229385376
Bozeman,MT,4.00705597722388,6.998036866719292,8.19130563525578,0.0,5.862466586299073,5.011773013099605,3.900709390640259
Akron,OH,2.6444880835035396,2.202338006392251,9.1031564540816,5.283947343439911,5.754232402117512,4.997632457906962,2.864375591278076
Canton-Massillon,OH,2.7756910677938924,2.171261936856673,9.037959279524635,5.366671319691014,5.594632842392159,4.989243289251675,2.9129819869995117
Birmingham,AL,3.8580970210596472,2.87785843126256,7.475600190756552,4.9799691410058795,5.589653545783323,4.956235665973593,3.6026484966278076
Jonesboro,AR,2.9176081873083044,3.5086362306609544,8.077732387867272,4.178667744899615,6.088107343152157,4.954150378777661,2.9425504207611084
Amarillo,TX,3.0115596565588696,3.2171153651120163,7.705578511381496,5.233375255428349,5.455343571466011,4.924594471989349,2.953913927078247
Longview,TX,2.873186373603206,2.008949478573251,7.133423081786638,6.269828206911476,6.242858640389958,4.905649156252906,2.9977171421051025
Odessa,TX,2.8097170874790907,5.485562300761605,9.113820539628186,1.1409282345437712,5.747025525446827,4.859410737571896,3.168184995651245
Montgomery,AL,3.1301047662762946,3.38881326052425,7.04021501782735,4.672748092147986,6.0143351328686,4.849243253928897,3.035449743270874
Wildwood-The Villages,FL,2.716069234304469,10.0,5.63059457128152,0.0,5.862466586299073,4.841826078377013,3.1617767810821533
Tuscaloosa,AL,3.950767114799731,3.510293702435576,5.63234512636183,4.4485768068326825,6.525630274123382,4.8135226049106405,3.6509907245635986
Lima,OH,2.5705161071614664,1.3627526232328993,8.788805477297636,5.544014940203367,5.748597934902249,4.802937416559524,2.8060503005981445
Toledo,OH,1.872608959887494,2.184265555575723,8.883097395732179,4.966568813996931,6.103176267099953,4.801943398458456,2.4722440242767334
Panama City-Panama City Beach,FL,4.680757911940384,4.884534254050876,1.660712976943568,6.963020481197239,5.509067561192936,4.739618637065001,4.522762298583984
Midland,TX,2.747367800819984,0.0,9.49322440264725,5.8206372422602675,5.627915509198596,4.7378289909852205,2.9708168506622314
Corpus Christi,TX,3.264975894764752,3.2721737084148868,5.894441052946789,4.997336881205887,6.006604119712774,4.687106331409018,3.0783917903900146
Wichita Falls,TX,2.5070620352472726,1.515600354954484,7.210480460340904,5.587585794836278,6.323837727344201,4.628913274544628,2.7419469356536865
Valdosta,GA,2.959621461666673,1.3936926767784805,7.362955411063716,5.180250504768874,5.957990460715971,4.570902102998743,2.9298629760742188
Crestview-Fort Walton Beach-Destin,FL,3.464816210488332,4.833355172356975,1.4640740908290475,7.006925614222566,5.916583678389853,4.537150953257354,3.3115932941436768
Mobile,AL,2.184972445924968,2.4386346618705304,6.880991734362858,5.883610728267027,5.176896063734997,4.513021126832077,2.34712290763855
Youngstown-Warren,OH,0.0,2.6979855467725464,8.566727928813648,5.837016530270493,5.331516326851513,4.48664926654164,1.7012473344802856
Dothan,AL,2.982793978203819,2.654169252433372,5.779681578433493,5.0749704335798755,5.586770795115049,4.415677207553122,2.803162097930908
Beaumont-Port Arthur,TX,2.776565726853513,3.5400608367179776,6.568018027579839,3.383159133521442,5.791052990198648,4.4117713429742835,2.6184346675872803
Sandusky,OH,9.999999999999998,3.69691115394374,2.3776430962949284,0.0,5.862466586299073,4.387404167307548,10.321002006530762
Anniston-Oxford,AL,2.92784985209242,1.121085878222541,6.17175622480692,5.83947154751807,5.836259762042037,4.379284652936398,2.8521010875701904
Macon-Bibb County,GA,2.9758195351378567,0.5778930262265137,6.1005790784602,5.941629368105533,6.1255831018397195,4.344300821953965,2.9322540760040283
Albany,GA,2.656146253060867,1.095548003158842,6.5650576051221705,5.2479793612598655,5.767466848367316,4.266439614193812,2.6372110843658447
Columbus,OH,2.986744704339157,0.0,7.05911634144023,4.884102855433347,6.198176005031711,4.2256279812488895,2.9594576358795166
Gadsden,AL,2.7792432403135163,0.9640176880238942,5.3157079675030054,6.021683089516699,5.863383825148069,4.188807162101037,2.70202898979187
Springfield,OH,2.662442428658267,0.0,8.4253191377545,4.16401785532222,5.652418889878925,4.180839662322782,2.7184207439422607
Cleveland,OH,2.716069234304469,1.8964387887318561,8.656105356575104,0.0,5.862466586299073,3.8262159931821005,2.719500780105591
Miami-Fort Lauderdale-West Palm Beach,FL,2.7356725038587473,5.5624617991403715,6.97364103956874,0.0,0.0,3.054355068513572,2.88047194480896
